Barrio,Homicidios Dolosos,Homicidios por siniestro vial,Lesiones por siniestro vial,Hurto automotor,Robo automotor
Agronomía,0,1,39,14,1
Almagro,3,2,231,212,7
Balvanera,12,6,401,110,14
Barracas,16,5,165,99,64
Belgrano,1,6,247,71,2
La Boca,2,1,74,42,29
Boedo,1,2,136,94,14
Caballito,3,4,275,216,8
Chacarita,0,1,116,35,3
Coghlan,0,0,18,21,0
Colegiales,1,0,60,28,3
Constitución,4,3,167,55,15
Flores,14,5,346,181,37
Floresta,0,0,113,68,5
Liniers,1,2,159,102,15
Mataderos,0,4,219,166,39
Monserrat,1,1,191,28,7
Monte Castro,0,1,72,65,9
Nueva Pompeya,4,8,165,97,44
Núñez,2,1,100,52,13
Palermo,3,4,444,246,4
Parque Avellaneda,1,4,444,91,39
Parque Chacabuco,0,2,131,79,19
Parque Chas,1,1,32,27,1
Parque Patricios,2,1,101,87,16
Paternal,2,0,41,29,3
Puerto Madero,2,0,33,12,0
Recoleta,1,4,264,70,4
Retiro,5,2,143,9,2
Saavedra,1,4,189,64,19
San Cristóbal,0,2,135,66,10
San Nicolás,1,1,153,13,1
San Telmo,1,0,65,28,10
Vélez Sarsfield,0,1,66,72,6
Versalles,0,0,50,17,4
Villa Crespo,1,1,212,121,13
Villa del Parque,1,1,77,60,0
Villa Devoto,0,2,171,83,17
Villa General Mitre,0,0,79,47,5
Villa Lugano,6,4,195,290,51
Villa Luro,1,0,73,50,12
Villa Ortuzar,1,0,45,28,1
Villa Pueyrredón,1,1,70,54,10
Villa Real,0,1,55,21,8
Villa Riachuelo,1,0,43,37,13
Villa Santa Rita,0,1,82,50,9
Villa Soldati,0,2,68,80,57
Villa Urquiza,1,2,157,79,12
