,neighbourhood,cantidad
0,Villa Soldati,1
1,Villa Riachuelo,3
2,Villa Lugano,5
3,Villa Real,7
4,Versalles,8
5,Parque Avellaneda,13
6,Monte Castro,13
7,Nueva Pompeya,14
8,Liniers,23
9,Velez Sarsfield,24
10,Mataderos,30
11,Villa Luro,31
12,Villa Gral. Mitre,36
13,Villa Santa Rita,43
14,Floresta,46
15,Agronomia,47
16,Paternal,55
17,Villa Pueyrredon,68
18,Parque Patricios,79
19,Parque Chas,85
20,Parque Chacabuco,85
21,Boedo,101
22,Boca,110
23,Villa Del Parque,113
24,Villa Devoto,113
25,Villa Ortuzar,126
26,Coghlan,133
27,Flores,153
28,San Cristobal,212
29,Saavedra,235
30,Barracas,249
31,Puerto Madero,357
32,Constitucion,428
33,Villa Urquiza,433
34,Chacarita,553
35,Caballito,700
36,Colegiales,753
37,Núñez,761
38,San Telmo,914
39,Villa Crespo,1130
40,Balvanera,1187
41,Almagro,1228
42,Monserrat,1465
43,Retiro,1567
44,Belgrano,1845
45,San Nicolas,2021
46,Recoleta,4945
47,Palermo,10942
